URL,Page Title,Passes Compliance,Images Missing Alt,Critical Violations,High Violations,Medium Violations,Violation Details
https://allearsinhearing.com.au/hearing-loss/financial-considerations-of-the-cost-of-hearing-aids-and-insurance-coverage/,Financial Considerations of the Cost of Hearing Aids and Insurance Coverage | He,NO,4,0,2,1,[HIGH] Missing Mandatory Disclaimer: 'Free' used without required disclaimer; [HIGH] Missing Mandatory Disclaimer: 'Free' used without required disclaimer; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-loss/how-to-manage-hearing-loss-2/,How to manage hearing loss | Hearing Aids Brisbane | Hearing Clinic | Audiologis,NO,5,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-loss/the-rol-of-audiology-in-hearing-aid-selection-and-fitting/,The role of audiology in hearing aid selection and fitting | Hearing Aids Brisba,NO,8,1,2,1,[CRITICAL] Health Guarantees/Claims: Forbidden word: 'guarantees'; [HIGH] Forbidden Words: Forbidden word: 'comfortable'; [HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-loss/the-impact-of-hearing-aids-on-quality-of-life/,What is Sensorineural Hearing Loss? | Hearing Aids Brisbane | Hearing Clinic | A,NO,2,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-aids/the-pros-and-cons-of-buying-cheap-hearing-aids-2/,The Impact of Hearing Aids on Quality of Life​ | Hearing Aids Brisbane | Hearing,NO,2,0,1,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-health/how-to-choose-a-hearing-aid-that-suits-my-lifestyle/,How to choose a hearing aid that suits my lifestyle? | Hearing Aids Brisbane | H,NO,2,0,2,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [HIGH] Missing Mandatory Disclaimer: 'Free' used without required disclaimer; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-aids/the-pros-and-cons-of-buying-cheap-hearing-aids/,The Pros and Cons of buying cheap hearing aids | Hearing Aids Brisbane | Hearing,NO,3,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-care-professional/how-often-should-you-see-a-hearing-care-professional/,How often should you see a hearing care professional? | Hearing Aids Brisbane | ,NO,2,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-health/how-to-manage-hearing-loss/,How to manage hearing loss | Hearing Aids Brisbane | Hearing Clinic | Audiologis,NO,4,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-test/hearing-test/,Hearing Test | Hearing Aids Brisbane | Hearing Clinic | Audiologist Near Me,NO,4,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-aids/8-steps-before-purchasing-your-new-hearing-aids/,8 Steps before purchasing your new hearing aids | Hearing Aids Brisbane | Hearin,NO,4,1,2,1,[CRITICAL] Health Guarantees/Claims: Forbidden word: 'perfect hearing'; [HIGH] Forbidden Words: Forbidden word: 'comfortable'; [HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-health/why-a-few-people-embarrassed-to-wear-hearing-aids-and-how-to-overcome-it/,"Why a few people embarrassed to wear hearing aids, and how to overcome it? | Hea",NO,5,0,2,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-health/why-you-shouldnt-sacrifice-your-hearing-health-for-a-cheaper-hearing-aid%ef%bf%bc/,Why you shouldn't sacrifice your hearing health for a cheaper hearing aid?￼ | He,NO,3,1,3,1,[CRITICAL] Health Guarantees/Claims: Forbidden word: 'perfect hearing'; [HIGH] Forbidden Words: Forbidden word: 'comfortable'; [HIGH] Forbidden Words: Forbidden word: 'comfortable'; [HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/,Hearing Clinic Near You | Hearing Tests | Hearing Aids Brisbane,NO,4,0,2,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [HIGH] Unsubstantiated Claims: Superiority claim: 'best audiologist'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-yarrabilba/,Hearing Assessment Yarrabilba,NO,1,0,1,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-woodridge/,Hearing Assessment Woodridge,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-wishart/,Hearing Assessment Wishart,NO,1,0,1,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-willawong/,Hearing Assessment Willawong,NO,1,0,1,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-waterford/,Hearing Assessment Waterford,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-upper-mount-gravatt/,Hearing Assessment Upper Mount Gravatt,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-underwood/,Hearing Assessment Underwood,NO,1,0,0,0,
https://allearsinhearing.com.au/hearing-assessment-tanah-merah/,Hearing Assessment Tanah Merah,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-sunnybank-hills/,Hearing Assessment Sunnybank Hills,NO,1,0,1,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-sunnybank/,Hearing Assessment Sunnybank,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-stretton/,Hearing Assessment Stretton,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-springfield-lakes/,Hearing Assessment Springfield Lakes,NO,1,0,0,0,
https://allearsinhearing.com.au/hearing-assessment-springfield/,Hearing Assessment Springfield,NO,1,0,1,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-spring-mountain/,Hearing Assessment Spring Mountain,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-south-ripley/,Hearing Assessment South Ripley,NO,1,0,1,0,[HIGH] Forbidden Words: Forbidden word: 'comfortable'
https://allearsinhearing.com.au/hearing-assessment-shailer-park/,Hearing Assessment Shailer Park,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-runcorn/,Hearing Assessment Runcorn,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-rochedale/,Hearing Assessment Rochedale,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-regents-park/,Hearing Assessment Regents Park,NO,1,0,1,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-redbank-plains/,Hearing Assessment Redbank Plains,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-parkinson/,Hearing Assessment Parkinson,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-park-ridge-south/,Hearing Assessment Park Ridge South,NO,1,0,1,1,[HIGH] Missing Mandatory Disclaimer: 'Free' used without required disclaimer; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-park-ridge/,Hearing Assessment Park Ridge,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-warren-park/,Hearing Assessment Warren Park,NO,1,0,1,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-mount-gravatt/,Hearing Assessment Mount Gravatt,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/tinnitus/,Tinnitus | Hearing Aids Brisbane | Hearing Clinic | Audiologist Near Me,NO,4,0,1,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-tests/hearing-test-for-children/,Hearing Test for Children | Hearing Aids Brisbane | Hearing Clinic | Audiologist,NO,5,0,3,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [HIGH] Forbidden Words: Forbidden word: 'comfortable'; [HIGH] Missing Mandatory Disclaimer: 'Free' used without required disclaimer; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/auditory-training/,Auditory Training,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/bone-conduction-implants/,Bone Conduction Implants,NO,1,0,1,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/custom-ear-plugs/,Custom Ear Plugs | Hearing Aids Brisbane | Hearing Clinic | Audiologist Near Me,NO,3,0,4,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [HIGH] Forbidden Words: Forbidden word: 'comfortable'; [HIGH] Forbidden Words: Forbidden word: 'comfortable'; [HIGH] Missing Mandatory Disclaimer: 'Free' used without required disclaimer; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-clinic-browns-plains/,Hearing Clinic Browns Plains,NO,1,0,2,1,[HIGH] Missing Mandatory Disclaimer: 'Free' used without required disclaimer; [HIGH] Missing Mandatory Disclaimer: 'Free' used without required disclaimer; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/services/,Services | Hearing Aids Brisbane | Hearing Clinic | Audiologist Near Me,NO,2,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/professional/,Professional | Hearing Aids Brisbane | Hearing Clinic | Audiologist Near Me,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/about/,About | Hearing Aids Brisbane | Hearing Clinic | Audiologist Near Me,NO,5,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-acacia-ridge/,Hearing Assessment Acacia Ridge,NO,1,0,2,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [HIGH] Missing Mandatory Disclaimer: 'Free' used without required disclaimer; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-buccan/,Hearing Assessment Buccan,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-greenbank/,Hearing Assessment Greenbank,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-forest-lake/,Hearing Assessment Forest Lake,NO,1,0,0,0,
https://allearsinhearing.com.au/hearing-assessment-eight-mile-plains/,Hearing Assessment Eight Mile Plains,NO,1,0,1,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-drewvale/,Hearing Assessment Drewvale,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-daisy-hill/,Hearing Assessment Daisy Hill,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-crestmead/,Hearing Assessment Crestmead,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-cedar-creek/,Hearing Assessment Cedar Creek,NO,1,0,1,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-carole-park/,Hearing Assessment Carole Park,NO,1,0,1,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-camira/,Hearing Assessment Camira,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-calamvale/,Hearing Assessment Calamvale,NO,1,0,1,1,[HIGH] Missing Mandatory Disclaimer: 'Free' used without required disclaimer; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-browns-plains/,Hearing Assessment Browns Plains | Hearing Aids Brisbane | Hearing Clinic | Audi,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-borona-heights/,Hearing Assessment Borona Heights,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-berrinba/,Hearing Assessment Berrinba,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-bellbird-park/,Hearing Assessment Bellbird Park,NO,1,0,1,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-beenleigh/,Hearing Assessment Beenleigh,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-augustine-heights/,Hearing Assessment Augustine Heights,NO,1,0,1,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-archerfield/,Hearing Assessment Archerfield,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-algester/,Hearing Assessment Algester,NO,1,0,2,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-alberton/,Hearing Assessment Alberton,NO,1,0,1,1,[HIGH] Missing Mandatory Disclaimer: 'Free' used without required disclaimer; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-logan-reserve/,Hearing Assessment Logan Reserve,NO,1,0,2,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [HIGH] Missing Mandatory Disclaimer: 'Free' used without required disclaimer; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-logan-village/,Hearing Assessment Logan Village,NO,1,0,2,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-heathwood/,Hearing Assessment Heathwood,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-marsden/,Hearing Assessment Marsden,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-macgregor/,Hearing Assessment Macgregor,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-loganlea/,Hearing Assessment Loganlea,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-logan-central/,Hearing Assessment Logan Central,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-kuraby/,Hearing Assessment Kuraby,NO,1,0,1,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-kingston/,Hearing Assessment Kingston,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/hearing-assessment-jimboomba/,Hearing Assessment Jimboomba,NO,1,0,0,0,
https://allearsinhearing.com.au/auditory-test-yarrabilba/,Auditory Test Yarrabilba | Hearing Aids Brisbane | Hearing Clinic | Audiologist ,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/auditory-test-upper-mount-gravatt/,Auditory Test Upper Mount Gravatt | Hearing Aids Brisbane | Hearing Clinic | Aud,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/auditory-test-waterford/,Auditory Test Waterford | Hearing Aids Brisbane | Hearing Clinic | Audiologist N,NO,1,0,1,1,[HIGH] Forbidden Words: Forbidden word: 'comfortable'; [MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
https://allearsinhearing.com.au/auditory-test-willawong/,Auditory Test Willawong | Hearing Aids Brisbane | Hearing Clinic | Audiologist N,NO,1,0,0,1,[MEDIUM] Missing TGA Disclaimer: Hearing aid advertisement missing mandatory TGA disclaimer
